name,itemType,gluten,sesame,soy,fish,shellfish,dairy,treeNuts,peanuts,wheat,almonds,legumes,mustard,description,vegan
Brooklyn,WEEKDAY LUNCH FEATURES,1,0,0,0,0,1,0,0,1,0,0,0,"Tomato, mozzarella, parmesan, double pepperoni, oregano",2
Scrumptious,WEEKDAY LUNCH FEATURES,1,0,0,0,0,1,0,0,1,0,0,0,"Mozzarella, tomato, fennel sausage, mixed mushrooms, caramelized onions, roasted garlic, BBQ drizzle",2
Fowl Play,WEEKDAY LUNCH FEATURES,1,0,0,0,0,1,0,0,1,0,0,0,"Alfredo, mozzarella, goat cheese, roasted chicken, roasted red peppers, sun-dried tomatoes, basil pesto drizzle",2
Carne Finta,WEEKDAY LUNCH FEATURES,1,0,0,0,0,0,1,0,1,0,0,0,"Bomba tomato, fennel tofu 'sausage', roasted paprika chickpeas, red onion, chopped spinach, walnut 'parmesan', harissa-chive 'sour cream'",0
Atomica,WEEKDAY LUNCH FEATURES,1,0,0,0,0,1,0,0,1,0,0,0,"Bomba tomato, mozzarella, spicy genoa salami, cremini mushrooms, pepperoncini",2
Fettuccine,WEEKDAY LUNCH FEATURES,1,0,0,0,0,2,0,0,1,0,0,0,"White wine crema, braised chicken, smoked bacon, cremini mushrooms, arugula, parmesan",2
Fruit of the Sea,WEEKDAY LUNCH FEATURES,1,0,0,1,1,2,0,0,1,0,0,0,"Bucatini alla carbonara, shrimp, scallops, green peas, bacon, parmesan, gremolata",2
Butternut Squash Ravioli,WEEKDAY LUNCH FEATURES,2,0,0,0,0,2,0,0,2,1,0,0,"Sage, brown butter, romesco, whipped ricotta, toasted walnuts",2
Fattoush,SOUP AND SALAD,1,0,0,0,0,0,0,0,1,0,0,0,"Heritage greens, cherry tomatoes, cucumber, red onion, shaved radish, za'atar-fried pita, lemon-garlic vinaigrette",0
Kale Caesar,SOUP AND SALAD,1,0,0,0,0,2,0,0,1,0,0,0,"Smoked bacon, grilled lemon, herb croutons, roasted garlic dressing",2
Son of a Beet,SOUP AND SALAD,0,0,0,0,0,1,1,0,0,0,0,0,"Beets, heritage greens, feta, roasted chickpeas, pistachios, green tahini dressing",2
Cadere Bowl,SOUP AND SALAD,1,0,0,0,0,1,0,0,1,0,0,0,"Quinoa, hummus, heritage greens, roasted chickpeas, butternut squash, fried artichokes, brussels sprouts, pumpkin seeds, dried cranberries, chèvre, fig balsamic drizzle. Plant-based without chèvre.",2
Chimichurri Chicken,ADD ONS,0,0,0,0,0,0,0,0,0,0,0,0,,2
Piri Piri Shrimp,ADD ONS,0,0,0,2,2,0,0,0,0,0,0,0,,2
Fried Tofu,ADD ONS,2,0,0,0,0,0,0,0,2,0,0,0,,2
BBQ Pork,ADD ONS,0,0,0,0,0,0,0,0,0,0,0,0,,2
Prosciutto,ADD ONS,0,0,0,0,0,0,0,0,0,0,0,0,,2
Loaded Hummus,SMALL PLATES,1,2,0,0,0,0,0,0,1,0,0,0,"Lemon & roasted garlic hummus, crushed pistachios, gremolata, smoked paprika oil, cucumber, pita, kettle chips",0
Harissa Cauliflower Popcorn,SMALL PLATES,0,1,0,0,0,1,0,0,0,0,0,0,"Shaved manchego, tahini-lime aioli, smoked paprika oil, cilantro",2
Cheese Toast,SMALL PLATES,2,0,0,0,0,2,0,0,2,0,0,0,"Focaccia, whipped ricotta, prosciutto, sundried tomato pesto, pine nuts, micro greens, balsamic drizzle",2
Piri Piri Shrimp,SMALL PLATES,1,0,0,2,2,0,0,0,1,0,0,0,"Garlic, jalapeños, scallions, piri piri sauce, toasted focaccia",2
Arancini,SMALL PLATES,2,0,0,0,0,2,0,0,2,0,0,0,"Crispy risotto balls filled with mozzarella & parmesan, pomodoro, basil",2
Piri Piri Bao,BAO DOWN,2,1,0,2,2,0,0,0,2,0,0,0,"Piri piri shrimp, pickled jalapeños, old bay remoulade, creamy slaw, sesame seeds",2
Dirty Fried Chicken Bao,BAO DOWN,2,1,0,0,0,0,0,0,2,0,0,0,"Honey-harissa fried chicken thighs, smoked blue cheese ranch, pickled onions, romaine chiffonade, sesame seeds",2
Tofu Bao,BAO DOWN,2,1,0,0,0,0,0,0,2,0,0,0,"Fried tofu, 'buttermilk' ranch, romaine chiffonade, zuni pickles, sesame seeds",0
Zhu Bao,BAO DOWN,2,1,0,0,0,0,0,0,2,0,0,0,"Herb marinated pork, pomegranate BBQ sauce, creamy slaw, zuni pickles, sesame seeds",2
Fettuccine,PASTA,1,0,0,0,0,2,0,0,1,0,0,0,"White wine crema, braised chicken, smoked bacon, cremini mushrooms, arugula, parmesan",2
Fruit of the Sea,PASTA,1,0,0,1,1,2,0,0,1,0,0,0,"Bucatini alla carbonara, shrimp, scallops, green peas, bacon, parmesan, gremolata",2
Chicken Parmesan,PASTA,2,0,0,0,0,2,0,0,2,0,0,0,"Rosemary & parmesan breaded chicken breast, pomodoro, fior di latte, basil, fettuccine, white wine crema",2
Butternut Squash Ravioli,PASTA,2,0,0,0,0,21,1,0,2,1,0,0,"Sage, brown butter, romesco, whipped ricotta, toasted walnuts",2
Margherita,PIZZA,1,0,0,0,0,1,0,0,1,0,0,0,"Tomato, fior di latte, basil, olive oil",2
