name,itemType,shellfish,egg,fish,dairy,molluscs,mustard,peanuts,sesame,soy,sulphites,treeNuts,wheat,gluten,vegetarian,vegan,Image
Baked Garlic Shrimp,STARTERS,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/Pt0sJyiZ1fUSZOtHcrZi.png
Calamari,STARTERS,2,0,0,2,2,0,0,0,0,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/ReRFJmhqUas0n3znaZFl.png
Crab Cakes,STARTERS,2,2,0,2,0,2,0,2,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/AGFbw57opQhl5waWF9X6.png
Crispy Fried Cauliflower,STARTERS,0,2,0,2,0,2,0,2,2,2,0,2,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/dFigfCYxCe4EPZa15vWL.png
Escargot,STARTERS,0,2,2,2,2,2,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/OQ3YPUsR8TIv94ZhLEsR.png
Gruyère Mushroom Dip,STARTERS,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/t9Cg7o2mlHSAg0e83yO9.png
Garlic Cheese Toast,STARTERS,0,2,0,2,0,0,0,0,0,0,0,2,2,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/KFjj4KcJYvhRse7XbQkR.png
Mushrooms Neptune,STARTERS,2,2,2,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/tohwH0b2qmAVpNkjhpsb.png
Scallops & Bacon,STARTERS,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/L7BvT1i5Y6NxVSLmhLVr.png
Shrimp Cocktail,STARTERS,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/TmcUPk0qPSke9P9VSYsz.png
Three Pepper Wings,STARTERS,0,2,2,2,0,2,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/owjgbnPjaSNQqtywHsWA.png
Tuna Tartare,STARTERS,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/5g9HYzO2kafZDjDww99k.png
Table Bread with Butter,STARTERS,0,0,0,2,0,2,0,0,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/fGMdEa6hqgJDyAqzaPZd.png
Keg Caesar,SALADS + SOUP,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/8JTW1N7mWrayPYtXHmnj.png
Iceberg Wedge Salad with Blue Cheese,SALADS + SOUP,0,2,0,2,0,2,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/NNVp2J4hIeL1ks9dJCpe.png
Iceberg Wedge Salad with Ranch,SALADS + SOUP,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/X9nQfWmxGU8gSYpRNV0H.png
Mixed Greens,SALADS + SOUP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/dNouB3zyBUjj1Oy1TKFU.png
French Onion Soup,SALADS + SOUP,0,0,0,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/vywp3h5h0B568O3eTcVw.png
Lobster Bisque,SALADS + SOUP,2,0,0,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/vz6eKx90GQFmTfG8uS4B.png
Prime Rib 10 oz,KEG STEAKS + PRIME RIB,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/AEKPsrI2S4Z0E8YaWTPl.png
Prime Rib 14 oz,KEG STEAKS + PRIME RIB,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/YzJpRiTYR23VTJ1DJb6A.png
Prime Rib 18 oz,KEG STEAKS + PRIME RIB,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/J8B4Lm0Igchq9zjx8znI.png
Top sirloin 6 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/LErv1Zlf7xEGmDSykFCd.png
Top Sirloin 8 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/T3ZZmQaOswdz6PVyzzl7.png
Top Sirloin 12 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/cC5b1PffsshbrgCM7GnX.png
Filet Mignon 7 oz,KEG STEAKS + PRIME RIB,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/E7LDva8mMcVosZY1Zf7E.png
Filet Mignon 10 oz,KEG STEAKS + PRIME RIB,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/kvL3DJ0tCKY4bUMSZjRo.png
Teriyaki Sirloin 8 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/gFQKvuei6znKdCEHEFK7.png
Rib Steak (bone-in) 20 oz,KEG STEAKS + PRIME RIB,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/gSuE40Wtryy0vxAqJiju.png
New York Striploin 12 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/9IYnXN782n5kM1pG5Mx7.png
Baseball Top Sirloin 12 oz,KEG STEAKS + PRIME RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/7z4tuZZNAzNpQ2KfE4PO.png
Blue Cheese Filet 7 oz,KEG STEAKS + PRIME RIB,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/p4mi3uGFdzBhAcOHFqvl.png
Blue Cheese Filet 10 oz,KEG STEAKS + PRIME RIB,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/4tEVHGPoifhIIfEhZ2Zn.png
Peppercorn New York 12 oz,KEG STEAKS + PRIME RIB,0,0,0,2,0,2,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/hN6j8CTOTK007UvxSnZ8.png
Sirloin Oscar 8 oz,KEG STEAKS + PRIME RIB,2,2,0,2,2,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/Q5IH8aWgEaanZMg7zgFk.png
Sirloin Oscar 6 oz,KEG STEAKS + PRIME RIB,2,2,0,2,2,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/M9RMGhAvmmiSQRTWIoCn.png
Steak + Crab Cake 8 oz,KEG STEAKS + PRIME RIB,2,2,0,2,0,2,0,2,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/U1SLlanQ84GFSa36HZWq.png
Steak & Shrimp 6 oz,STEAK + SEAFOOD,2,0,2,2,0,0,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/AfQEmXzPw7KLHCg35Ae8.png
Steak & Shrimp 8 oz,STEAK + SEAFOOD,2,0,2,2,0,0,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/kbJw0NiTpNh5tzgNzGsg.png
Steak & Lobster 6 oz,STEAK + SEAFOOD,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/S87sxT66TB4lvx3wcxph.png
Steak & Lobster 8 oz,STEAK + SEAFOOD,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/Yi1yJZ0JLZHFytilCQU7.png
Mushroom Rice,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/U3MjibFDPfVYcEg3bDW7.png
Baked Potato,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/QHj6ZJGoUYCN8HrpjAEY.png
Baked Potato with Butter,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/GRaWy4puogMqsejvO7Yd.png
Baked Potato with Sour Cream,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/3xH6WM0aVp1B6VclUDxN.png
Baked Potato with 3-Cheese Spread,ACCOMPANIMENTS,0,0,0,2,0,2,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/PwRRldHlYAEbmodcSJcQ.png
Baked Potato Works,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/v3wJIPWueT4DqUYbzLXp.png
Cauliflower Mash,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/22fFDUE6QkQzTgXOKEOh.png
Keg Fries,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/JDOUrFhI1i8IzgXHJydd.png
Sautéed Vegetables,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/6ObgaaBnuLmxV92xcmGL.png
Garlic Mashed Potatoes,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/SHhFFxJin557S8w1SwgX.png
Sautéed Mixed Mushrooms,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/C42bRnGDzu30spMU9Jqv.png
Twice Baked Potato,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/ISRztL849Fz6n6qLRJoO.png
Grilled Seasonal Vegetables - Zucchini & Red Peppers,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/PbNReiwIkpm4afp57W78.png
