name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,legumes,garlic,mustard,halal,keto,lowFODMAP,dash,lowCarb,description
Classic Montreal Poutine,Shareables + Starters,2,2,2,0,0,0,0,1,0,0,0,2,0,2,0,2,2,2,2,2,"Quebecois Cheese Curds, House Beef Gravy, Parm - 15"
Coconut Shrimp,Shareables + Starters,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,"Salted Coconut Shrimp, Apricot Sweet & Sticky Sauce, Cilantro - 19½"
Cheshire Chicken Curry & Chips,Shareables + Starters,1,2,2,0,0,0,0,1,1,0,0,0,1,2,0,2,2,2,2,2,"Chicken Curry, Roasted Garlic Potato Wedges, Cheese Curds, Pickled Chillies, Pickled Red Onion, Lime Crema - 23"
Crispy Calamari w/ Almond Salt,Shareables + Starters,2,2,2,0,0,2,0,1,1,1,0,2,0,0,0,0,2,0,0,2,"Roasted Almond Salt, Broken Papadam, Curry Crema, Sweet Peppers, Lime Wedge - 22"
Best Lettuce Wraps Chicken,Shareables + Starters,2,2,2,2,2,0,0,0,1,0,2,2,0,0,0,2,2,2,2,2,"Protein Chicken or Tofu. Peanuts, Orange Soy Glaze, Thai Basil, Cilantro, Pickled Red Chili, Crispy Wonton Strips, Spicy Mayo, Lettuce Cups - 24"
Best Lettuce Wraps Tofu,Shareables + Starters,2,2,0,2,2,0,0,0,1,0,2,2,0,0,0,0,2,2,2,2,"CHOOSE: Protein Chicken or Tofu. Peanuts, Orange Soy Glaze, Thai Basil, Cilantro, Pickled Red Chili, Crispy Wonton Strips, Spicy Mayo, Lettuce Cups - 24"
Shishito Nachos Supreme,Shareables + Starters,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,"Nacho Chips, Cheese, Pickled Jalapeño, Shishito, Pico di Gallo, Lime Crema, Cilantro. ADD: Guac $4.50 / Cajun Chicken or Plant Based Chorizo $8 / Braised Short-Rib $10 - 26"
Shishito Nachos Supreme Chicken,Shareables + Starters,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,2,"Nacho Chips, Cheese, Pickled Jalapeño, Shishito, Pico di Gallo, Lime Crema, Cilantro. ADD: Guac $4.50 / Cajun Chicken or Plant Based Chorizo $8 / Braised Short-Rib $10 - 26"
Shishito Nachos Supreme Shortrib,Shareables + Starters,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,2,"Nacho Chips, Cheese, Pickled Jalapeño, Shishito, Pico di Gallo, Lime Crema, Cilantro. ADD: Guac $4.50 / Cajun Chicken or Plant Based Chorizo $8 / Braised Short-Rib $10 - 26"
Shishito Nachos Supreme Vegan Chorizo,Shareables + Starters,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,2,"Nacho Chips, Cheese, Pickled Jalapeño, Shishito, Pico di Gallo, Lime Crema, Cilantro. ADD: Guac $4.50 / Cajun Chicken or Plant Based Chorizo $8 / Braised Short-Rib $10 - 26"
Shishito Nachos Supreme Vegan,Shareables + Starters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,"Nacho Chips, Cheese, Pickled Jalapeño, Shishito, Pico di Gallo, Lime Crema, Cilantro. ADD: Guac $4.50 / Cajun Chicken or Plant Based Chorizo $8 / Braised Short-Rib $10 - 26"
Wagyu Beef Nacho,Shareables + Starters,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,2,"Wagyu Spiced Beef, Cheese, Corn Tortilla, Crispy Shallots, Mexican Crema, Pico Di Gallo, Cilantro - 39"
Miami Ribs,Shareables + Starters,0,2,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,"Soy Garlic Ginger Glaze, Sesame Seeds, Chives - 23"
Halifax Donair,House Favourites,1,2,2,0,0,0,0,1,0,0,0,1,0,2,0,2,2,2,2,2,"House Made Donair (Pork, Veal, Beef), Halifax Donair Sauce, Onion, Tomato, Warm Pita - 18"
Shortdeitch Chicken Curry,House Favourites,2,2,2,0,0,0,0,2,0,0,0,0,2,2,0,2,2,2,2,2,"Chicken Breast, Madras Curry, Crispy Chickpeas, Pickled Onions, Chilis, Garlic Naan, Coconut Milk Rice, Cilantro, Mango Hot Sauce - 25"
Blackened Chicken Supreme,House Favourites,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,"Herb & Garlic Mash Potato, Bacon, Market Veg - 29"
Braised Short Rib & Frites,House Favourites,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,2,2,"Beef Short Rib, Garlic, Kale and Parmesan Fries, Pickled Onions, Beef Jus Reduction. Sub: Butter & Garlic Mashed Potato with Market Veg Add $4.50 - 36"
Jerk Chicken,House Favourites,0,2,2,0,2,0,0,2,0,2,0,0,0,2,0,2,2,2,2,2,"Jerk Chicken Thighs, Coconut Milk Rice, Mango Slaw, Cilantro - 29"
Lobster Bacon Mac N'cheese,House Favourites,2,2,1,0,0,2,2,2,2,0,0,2,0,2,0,0,2,2,2,2,"Atlantic Lobster, Double Smoked Bacon, White Cheddar Cream Sauce, Brown Butter Bread Crumbs - 35"
General Soho Sauce,Wings,0,2,2,1,2,2,2,0,0,0,0,0,0,2,0,2,2,2,2,2,"General Soho / Sweet Soho Sauce, Sesame Seeds, Fresh Cilantro. - 22"
