name,itemType,shellfish,egg,fish,milk,mustard,peanuts,sesame,soy,sulphites,treeNuts,gluten,dashDiet,keto,lowFODMAP,lowCarb,description,vegan,vegetarian
Charcuterie,Shares & Starters,0,2,0,2,2,0,0,2,2,0,2,2,2,2,2,"Genoa & Calabrese salami, proscuitto, smoked cheddar, blue cheese, brie, rosemary salted dates, beets, fennel honey, bourbon mustard, olives, focaccia ",2,2
Crispy Calamari,Shares & Starters,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,"pickled red chillies, chimichurri aioli",2,2
Fish Tacos,Shares & Starters,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,"three fish tacos, grilled pineapple and jicama slaw, cheddar, avocado crema, smoked chili sauce + TACO FOR 6",2,2
Korean Cauliflower,Shares & Starters,0,2,0,2,0,2,0,2,0,0,2,2,2,2,2,"crispy cauliflower, gochujang sauce, peanuts",2,0
Landing Wings - BBQ Sauce,Shares & Starters,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,"bbq, ancho pepper lime or hot sauce, feta dip",2,2
Landing Wings - Hot Sauce,Shares & Starters,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,"bbq, ancho pepper lime or hot sauce, feta dip",2,2
Landing Wings - Ancho Pepper Salt,Shares & Starters,0,2,0,2,2,0,0,0,0,0,0,2,2,2,2,"bbq, ancho pepper lime or hot sauce, feta dip",2,2
Mozzarella Arancini,Shares & Starters,0,2,0,2,0,0,0,0,2,0,0,2,2,2,2,"mozzarella stuffed arborio, house-made olive antipasto, tomato jam + ARANCINI 3",2,0
Nachos,Shares & Starters,0,2,0,2,0,0,0,2,2,0,2,2,2,2,2,"corn chips, mozzarella, cheddar, pickled red onions, house-made tomato jam, jalapeño, cilantro, sour cream, jalapeño crema, tequila & mole spiced beans + SEASONED BEEF 5 | + CHICKEN 5 | + JALAPEÑO QUESO 3 | + GUACAMOLE 3",2,2
Scallops & Bacon,Shares & Starters,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,2
Crispy Fried Brussel Sprouts,Shares & Starters,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,"crispy Brussels sprouts, pickled chilies, tahini & citrus soy dressing, maple syrup, sesame seeds",0,2
Trio Dip,Shares & Starters,0,2,0,2,0,0,2,2,0,0,2,2,2,2,2,"goat cheese red pepper dip, eggplant dip, edamame hummus, garlic confit, naan, focaccia, corn chips",2,2
Chicken Pico de Gallo,Pizzas,0,0,0,2,0,0,0,2,2,0,2,2,2,2,2,"San Marzano spicy tomato sauce, mozzarella, house-smoked chicken, charred pineapple, feta, pico de gallo, lime crema",2,2
