name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,garlic,mustard,halal,description,keto,lowFODMAP,dashDiet,lowCarb
The Classic,Breakfast Combos,2,0,0,1,0,0,0,2,2,0,0,0,0,2,2,"2 eggs any style, bacon or sausage and your choice of 2; homefries, baked beans, toast or baby cakes",2,2,2,2
Huevos Rancheros,Breakfast Combos,2,0,0,1,0,0,0,2,2,0,0,0,0,2,0,"2 Sunny Side eggs, avocado, tomatoes, cucumbers, jalapeños and feta served on crispy corn tortillas with salsa and sour cream",2,2,2,2
Meatlovers,Breakfast Combos,2,2,2,1,2,0,0,1,1,0,0,1,1,0,2,"2 eggs any style, bacon, sauce and ham and your choice of 2; homefries, baked beans, toast or baby cakes.",2,2,2,2
The Deluxe,Breakfast Combos,2,1,1,1,2,0,0,1,2,0,0,1,1,0,2,"2 eggs any style, choice of bacon or sausage. Served with homefries, baked beans, baby cakes and toast",2,2,2,2
Steak and Eggs,Breakfast Combos,2,2,2,1,2,0,0,1,1,0,0,1,1,0,2,"6oz Sirloin steak cooked the way you like it, 2 eggs any style and your choice of 2; homefries, baked beans, toast or baby cakes",2,2,2,2
Breakfast Quesadilla,Breakfast Combos,2,1,1,1,2,0,0,1,2,0,0,2,1,0,2,"Scrambled eggs, bacon, sausage, cheese, onions, peppers and choice of baked beans, homefries or baby cakes",2,2,2,2
Funky G’s Tacos,Breakfast Combos,2,1,1,1,2,0,0,1,1,0,0,2,1,0,2,"Softshell tacos loaded with scrambled egg, sausage, tomato, green onion, blended cheese and chipotle mayo",2,2,2,2
Flapjack Wraps,Breakfast Combos,2,2,2,1,2,0,0,2,2,0,0,2,1,0,2,An order of our tasty breakfast sausages wrapped in thin pancakes. Served with a side of pancake syrup for dippin’ and two eggs any style,2,2,2,2
Keto Combo,Breakfast Combos,2,1,1,1,2,0,0,1,2,0,0,1,1,0,2,"2 eggs any style, bacon, fresh sliced avocado and mixed green salad.",0,0,2,0
Billion's Benny,The Benny's,2,2,2,2,2,0,0,2,2,0,0,2,0,0,2,"6oz AAA Flat Iron steak laid across a toasted english muffin topped with 2 poached eggs, sautéed mushrooms, smothered with hollandaise sauce and topped with onion frizzle",2,2,2,2
Smoked Salmon,The Benny's,2,2,2,2,2,2,0,2,2,0,0,2,0,0,2,"Built on a toasted english muffin with 2 poached eggs, rich hollandaise sauce and cold smoked Canadian salmon.",2,0,2,0
Lovesick Benny,The Benny's,2,2,2,2,2,0,0,2,2,0,0,2,0,0,2,"Classic eggs Benny with ham, poached eggs and hollandaise, built with fresh baby spinach and topped with feta",2,2,2,2
Mikey B's Eggs Benny,The Benny's,2,2,1,2,2,0,0,2,2,0,0,2,0,0,2,"English muffin toasted and topped with black forest ham, poached eggs and hol- landaise. Served with your choice of homefries, baked beans or baby cakes",2,2,2,2
Smokkin Lizzy,The Benny's,2,2,2,2,2,0,0,2,2,0,0,2,0,0,2,,2,2,2,2
